muestra,mercado,n_empresas,beta_cobre,p_cobre,R2,FEVD_global_h12
B: cobre global,global,5,0.5712165930201993,1.5632373062679505e-07,0.24455387303725284,0.4318922465599515
A: cobre Chile,chileno,1,0.6307993636080119,1.2225774137323602e-13,0.3304852891510689,0.39491629247435184
C: minería Chile,chileno,4,0.41853608766646105,6.102358618420567e-10,0.11319767083462418,0.30717734523023776
